1 2000 0.0418529 0.0507608 0.029402 0.0314343 0.174593 0.189962
2 2000 0.0650181 0.0829881 0.0202987 0.0221215 0.173829 0.155635
5 2000 0.135508 0.178981 0.0130483 0.0235605 0.184719 0.177143
10 2000 0.251731 0.339224 0.00843295 0.0189678 0.172121 0.165979
25 2000 0.600569 0.820455 0.0052575 0.0145209 0.174506 0.176426
50 2000 1.18576 1.6218 0.00360737 0.00979532 0.173548 0.169324
100 2000 2.35004 3.22314 0.00238069 0.00665291 0.174396 0.173644
175 2000 4.12997 5.66012 0.00175873 0.00472547 0.17413 0.17388
250 2000 5.88224 8.11511 0.00138163 0.00410322 0.174289 0.177041
400 2000 9.4054 12.934 0.00107496 0.00345903 0.175074 0.172876
500 2000 11.8068 16.3666 0.00094444 0.00308313 0.174442 0.172626
600 2000 14.1725 19.4556 0.000836476 0.00290898 0.174356 0.174434
700 2000 16.4804 22.611 0.000775442 0.00265954 0.174247 0.173246
900 2000 21.2029 29.0807 0.000665054 0.00237665 0.174569 0.176329
1000 2000 23.512 32.3522 0.000635971 0.00221856 0.175195 0.173663
2000 2000 46.9815 64.6501 0.00043557 0.00159132 0.174376 0.174462
3000 2000 70.5053 97.1567 0.000350428 0.00124626 0.174722 0.175773
4000 2000 94.07 128.934 0.00030377 0.00110739 0.174205 0.174489
5000 2000 118.055 161.533 0.000264218 0.001028 0.174429 0.175596
