1 800 0.000449816 0.000599337 0.0691421 0.0720455
3 800 0.000804893 0.00125902 0.0252201 0.0251853
6 800 0.00132651 0.00219522 0.0174466 0.0148867
12 800 0.00236428 0.00464737 0.00869582 0.00745394
25 800 0.00482042 0.00834502 0.00559335 0.00435718
62 800 0.0114636 0.0204615 0.00302551 0.00214406
125 800 0.0220705 0.04099 0.00183736 0.000847964
250 800 0.0441536 0.0802342 0.000623445 0.000431124
437 800 0.0765564 0.140193 0.000498783 0.000268051
625 800 0.108632 0.209243 0.000455364 0.000184485
1000 800 0.174007 0.317532 0.000172267 0.000128234
1250 800 0.215123 0.405834 0.000166736 0.000101727
1500 800 0.262317 0.47196 0.000174915 7.31919e-05
1 900 0.000505524 0.000714984 0.0660245 0.0633751
2 900 0.000706947 0.00103857 0.0441797 0.037664
5 900 0.00130854 0.00210803 0.0181383 0.0187218
11 900 0.00246373 0.00556853 0.00782695 0.00858329
22 900 0.00657086 0.0118776 0.00519262 0.00422091
55 900 0.0164266 0.0257441 0.00304099 0.0017905
111 900 0.0225699 0.0406806 0.0019452 0.000913257
222 900 0.0441641 0.0790757 0.000773554 0.000477378
388 900 0.0760965 0.138424 0.000655246 0.000325531
555 900 0.108035 0.196821 0.00044483 0.000190094
888 900 0.171429 0.315586 0.000256072 0.000108285
1111 900 0.212962 0.402958 0.000211229 9.65634e-05
1333 900 0.25992 0.471627 0.000200485 7.06958e-05
1 1000 0.000584611 0.000746365 0.0632838 0.0630534
2 1000 0.000781515 0.00115653 0.0416844 0.035137
5 1000 0.00143108 0.00234213 0.0181971 0.0175812
10 1000 0.0025123 0.00486733 0.010113 0.0101292
20 1000 0.00652725 0.0122077 0.0063879 0.0042138
50 1000 0.0169939 0.0265976 0.00315471 0.00198649
100 1000 0.0221461 0.039863 0.0020621 0.00120322
200 1000 0.043754 0.0792217 0.000769459 0.000460637
350 1000 0.0755498 0.137989 0.000689333 0.000351948
500 1000 0.107196 0.196676 0.000370046 0.000228123
800 1000 0.173164 0.322645 0.000287153 0.000154213
1000 1000 0.216082 0.403508 0.00015272 0.000117543
1200 1000 0.259377 0.47603 0.00015362 8.53957e-05
