1000 0 1047.53 3136.29 0 1.07052e+06 3.19235e+06
101000 985.357 10.1138 10.7141 1.00711e+06 95.3281 94.6162
201000 974.633 4.57874 4.14686 996169 26.2413 19.9284
301000 960.603 3.19314 3.6691 981856 11.1749 13.9703
401000 984.892 2.70593 2.5565 1.00663e+06 8.22613 8.54819
501000 1032.91 1.79868 1.77781 1.05561e+06 4.22589 4.07677
601000 1049.27 1.60154 1.65756 1.0723e+06 3.421 3.92278
701000 1035.58 1.23545 1.42968 1.05834e+06 2.18377 3.02381
801000 1043.61 1.21417 1.20879 1.06653e+06 2.3094 2.21913
901000 1053.33 1.09942 0.947451 1.07645e+06 1.86407 1.50363
1001000 1049.62 0.954392 0.907639 1.07266e+06 1.51158 1.41493
1101000 1064.64 0.838991 0.840715 1.08797e+06 1.30103 1.28041
1201000 1061.47 0.763459 0.786751 1.08474e+06 1.06643 1.19996
1301000 1072.46 0.68299 0.659994 1.09595e+06 0.98301 0.866612
1401000 1080.39 0.646172 0.62563 1.10404e+06 0.835356 0.825097
1501000 1075.41 0.608269 0.637465 1.09897e+06 0.739636 0.815552
1601000 1071.06 0.559518 0.51176 1.09452e+06 0.673002 0.565182
1701000 1072.14 0.494826 0.535425 1.09562e+06 0.585782 0.630759
1801000 1075.42 0.519009 0.478313 1.09897e+06 0.629638 0.535776
1901000 1077.25 0.482982 0.505195 1.10084e+06 0.55036 0.588775
