1 2000 0.0414255 0.0503151 0.0300749 0.0269224 0.178367 0.155567
2 2000 0.0641463 0.0825576 0.0203968 0.0233041 0.174757 0.147074
5 2000 0.133075 0.178128 0.0126911 0.0203179 0.177016 0.153878
10 2000 0.248596 0.338251 0.00872728 0.0171394 0.179121 0.152935
25 2000 0.599289 0.858717 0.0053326 0.0130193 0.177485 0.158231
50 2000 1.19635 1.63965 0.00362542 0.00960079 0.176059 0.167471
100 2000 2.34479 3.23017 0.00236708 0.00659881 0.175031 0.173675
175 2000 4.07565 5.67708 0.00168677 0.0047812 0.174541 0.173548
250 2000 5.77207 8.01526 0.00135597 0.00423243 0.174716 0.175353
400 2000 9.22434 12.8111 0.00103139 0.00339487 0.174646 0.174065
500 2000 11.5232 16.1092 0.000918769 0.00305773 0.174472 0.17518
600 2000 13.8692 19.3107 0.000831679 0.00279422 0.174585 0.174841
700 2000 16.2008 22.503 0.000768487 0.00257932 0.1744 0.174453
900 2000 20.8343 28.9627 0.000655809 0.00231301 0.174748 0.174817
1000 2000 23.2968 32.3382 0.000624897 0.00222844 0.174524 0.174688
2000 2000 46.3871 64.4733 0.000428328 0.00158066 0.174592 0.174167
3000 2000 69.5783 96.5666 0.000342128 0.00128045 0.174511 0.174124
