1 2000 0.0564653 0.069482 0.126866 0.124528 5.99349 5.81819
2 2000 0.0886016 0.114162 0.0781082 0.117204 6.04881 5.79836
5 2000 0.18443 0.246336 0.0436534 0.10826 6.03984 5.80266
10 2000 0.352293 0.466843 0.0245679 0.0978261 5.99895 5.83878
25 2000 0.836487 1.13658 0.011823 0.0763165 6.00368 5.92413
50 2000 1.64472 2.27018 0.00844755 0.0543321 5.99603 5.98352
100 2000 3.29386 4.47342 0.00560737 0.0323925 5.99412 6.01375
175 2000 5.6316 7.74345 0.00457738 0.0222397 5.99419 6.0026
250 2000 8.1003 11.3011 0.0037208 0.0211076 5.99388 6.00375
400 2000 12.9627 17.8293 0.00244535 0.0180564 5.99394 6.00046
500 2000 16.1213 22.0539 0.00212659 0.0168254 5.99358 6.00448
600 2000 19.3298 26.7576 0.00197527 0.0158731 5.99377 6.00117
700 2000 22.8543 31.1746 0.00184185 0.0147852 5.99448 5.99981
900 2000 28.9408 39.5686 0.00168986 0.013505 5.99486 5.99946
1000 2000 31.92 44.1753 0.00168403 0.013071 5.99436 5.99857
2000 2000 64.9143 88.6085 0.00102258 0.00983402 5.99494 5.99259
3000 2000 96.1515 154 0.00041894 0.00806332 5.99569 5.99142
