500 0.000613456 0.00159581
1000 0.00112334 0.00116018
5000 0.00537528 0.000527928
10000 0.0099957 0.000379448
20000 0.0203078 0.000269529
50000 0.0460761 0.000171864
100000 0.0868016 0.000121263
150000 0.128295 9.89647e-05
200000 0.170653 8.58165e-05
300000 0.251196 7.00777e-05
400000 0.332081 6.07473e-05
500000 0.413073 5.43314e-05
600000 0.494098 4.96218e-05
700000 0.589623 4.59421e-05
800000 0.670855 4.29736e-05
900000 0.751745 4.05414e-05
1000000 0.832824 3.84551e-05
1250000 1.03392 3.44112e-05
1500000 1.23547 3.14124e-05
2000000 1.64214 2.72062e-05
4000000 3.24896 1.92364e-05
6000000 4.84695 1.57079e-05
8000000 6.47754 1.36036e-05
10000000 8.07317 1.2169e-05
